Club,Season,Expenditure,Arrivals,Income,Departures,Balance,League
Watford FC,21/22,43500000,35,12850000,30,-30650000,PremierLeague
Southampton FC,21/22,43100000,11,60350000,14,17250000,PremierLeague
Everton FC,21/22,39500000,17,46000000,16,6500000,PremierLeague
Wolverhampton Wanderers,21/22,37600000,30,31800000,22,-5800000,PremierLeague
Brentford FC,21/22,36700000,21,1000000,17,-35700000,PremierLeague
Chelsea FC,22/23,611490000,31,67830000,25,-543660000,PremierLeague
Manchester United,22/23,243280000,26,13250000,21,-230030000,PremierLeague
West Ham United,22/23,194000000,15,21550000,13,-172450000,PremierLeague
Arsenal FC,22/23,192360000,29,23800000,16,-168560000,PremierLeague
Newcastle United,22/23,185350000,19,2300000,13,-183050000,PremierLeague
Nottingham Forest,22/23,184250000,48,5000000,28,-179250000,PremierLeague
Tottenham Hotspur,22/23,177900000,23,38750000,18,-139150000,PremierLeague
Wolverhampton Wanderers,22/23,177110000,36,60370000,27,-116740000,PremierLeague
Manchester City,22/23,150500000,28,162470000,21,11970000,PremierLeague
Leeds United,22/23,145590000,24,113500000,18,-32090000,PremierLeague
Southampton FC,22/23,143650000,22,5500000,14,-138150000,PremierLeague
Liverpool FC,22/23,137300000,9,80700000,12,-56600000,PremierLeague
Aston Villa,22/23,100140000,25,54000000,22,-46140000,PremierLeague
AFC Bournemouth,22/23,83100000,21,0,15,-83100000,PremierLeague
Everton FC,22/23,78200000,21,103600000,19,25400000,PremierLeague
Fulham FC,22/23,70500000,25,21900000,24,-48600000,PremierLeague
Brighton & Hove Albion,22/23,55730000,27,137900000,23,82170000,PremierLeague
Brentford FC,22/23,51500000,22,3600000,19,-47900000,PremierLeague
Leicester City,22/23,48000000,11,81400000,10,33400000,PremierLeague
Crystal Palace,22/23,46600000,13,5460000,11,-41140000,PremierLeague
Real Madrid,02/03,45000000,20,8200000,14,-36800000,LaLiga
Deportivo de La Coru?a,02/03,42660000,20,9700000,15,-32960000,LaLiga
Atl?tico de Madrid,02/03,31200000,22,8100000,22,-23100000,LaLiga
FC Barcelona,02/03,20000000,14,11550000,12,-8450000,LaLiga
Real Betis Balompi?,02/03,12200000,10,2900000,9,-9300000,LaLiga
Celta de Vigo,02/03,11500000,19,50000,16,-11450000,LaLiga
RCD Espanyol Barcelona,02/03,11270000,18,0,16,-11270000,LaLiga
Deportivo Alav?s,02/03,4400000,11,0,15,-4400000,LaLiga
Villarreal CF,02/03,2850000,15,60000,16,-2790000,LaLiga
Sevilla FC,02/03,2830000,11,0,12,-2830000,LaLiga
Real Sociedad,02/03,1600000,14,2400000,14,800000,LaLiga
Rayo Vallecano,02/03,750000,11,0,16,-750000,LaLiga
Racing Santander,02/03,500000,14,1800000,8,1300000,LaLiga
Recreativo Huelva,02/03,450000,18,70000,18,-380000,LaLiga
RCD Mallorca,02/03,200000,17,15000000,11,14800000,LaLiga
CA Osasuna,02/03,0,11,0,15,0,LaLiga
Real Valladolid CF,02/03,0,9,2230000,13,2230000,LaLiga
Athletic Bilbao,02/03,0,7,0,6,0,LaLiga
Valencia CF,02/03,0,14,1500000,12,1500000,LaLiga
M?laga CF,02/03,0,7,0,7,0,LaLiga
FC Barcelona,03/04,43850000,16,2900000,17,-40950000,LaLiga
Real Madrid,03/04,37500000,15,32800000,15,-4700000,LaLiga
Villarreal CF,03/04,12050000,15,4000000,15,-8050000,LaLiga
Atl?tico de Madrid,03/04,9800000,25,250000,25,-9550000,LaLiga
Real Betis Balompi?,03/04,8500000,16,0,10,-8500000,LaLiga
Valencia CF,03/04,8500000,17,4500000,10,-4000000,LaLiga
Sevilla FC,03/04,8200000,14,20000000,11,11800000,LaLiga
RCD Mallorca,03/04,6500000,19,11800000,19,5300000,LaLiga
Real Zaragoza,03/04,5800000,11,0,11,-5800000,LaLiga
Real Sociedad,03/04,4500000,13,0,11,-4500000,LaLiga
RCD Espanyol Barcelona,03/04,3200000,15,0,18,-3200000,LaLiga
Real Murcia CF,03/04,2700000,18,1500000,17,-1200000,LaLiga
CA Osasuna,03/04,2600000,11,0,9,-2600000,LaLiga
Deportivo de La Coru?a,03/04,2500000,19,19750000,13,17250000,LaLiga
Celta de Vigo,03/04,2500000,17,4000000,12,1500000,LaLiga
Albacete Balompi?,03/04,300000,16,0,19,-300000,LaLiga
Real Valladolid CF,03/04,0,15,0,15,0,LaLiga
Athletic Bilbao,03/04,0,2,0,7,0,LaLiga
Racing Santander,03/04,0,10,0,16,0,LaLiga
M?laga CF,03/04,0,10,7700000,13,7700000,LaLiga
FC Barcelona,04/05,78500000,20,14750000,16,-63750000,LaLiga
Real Madrid,04/05,58700000,13,9250000,11,-49450000,LaLiga
Valencia CF,04/05,40000000,28,8000000,19,-32000000,LaLiga
Atl?tico de Madrid,04/05,17600000,31,0,25,-17600000,LaLiga
Villarreal CF,04/05,15800000,11,8000000,9,-7800000,LaLiga
Sevilla FC,04/05,11530000,15,0,12,-11530000,LaLiga
Real Betis Balompi?,04/05,10950000,14,0,11,-10950000,LaLiga
Real Sociedad,04/05,6750000,20,16800000,15,10050000,LaLiga
Deportivo de La Coru?a,04/05,5000000,16,2200000,15,-2800000,LaLiga
Real Zaragoza,04/05,3850000,12,0,14,-3850000,LaLiga
Levante UD,04/05,3400000,12,0,14,-3400000,LaLiga
RCD Espanyol Barcelona,04/05,3050000,19,190000,21,-2860000,LaLiga
RCD Mallorca,04/05,2900000,20,27000000,29,24100000,LaLiga
Racing Santander,04/05,1140000,19,0,18,-1140000,LaLiga
M?laga CF,04/05,750000,7,3700000,10,2950000,LaLiga
CD Numancia,04/05,720000,20,630000,21,-90000,LaLiga
CA Osasuna,04/05,0,11,0,11,0,LaLiga
Athletic Bilbao,04/05,0,8,0,3,0,LaLiga
Albacete Balompi?,04/05,0,20,3730000,23,3730000,LaLiga
Getafe CF,04/05,0,15,0,16,0,LaLiga
Real Madrid,05/06,89500000,20,43100000,10,-46400000,LaLiga
Atl?tico de Madrid,05/06,26500000,24,5300000,19,-21200000,LaLiga
Valencia CF,05/06,24810000,33,13900000,20,-10910000,LaLiga
Sevilla FC,05/06,23000000,15,48200000,16,25200000,LaLiga
Villarreal CF,05/06,19900000,12,13350000,8,-6550000,LaLiga
RCD Espanyol Barcelona,05/06,15630000,19,6100000,19,-9530000,LaLiga
RCD Mallorca,05/06,9750000,23,5000000,28,-4750000,LaLiga
Real Zaragoza,05/06,7000000,13,14500000,15,7500000,LaLiga
Real Betis Balompi?,05/06,6550000,16,480000,15,-6070000,LaLiga
Racing Santander,05/06,5300000,22,6450000,22,1150000,LaLiga
Deportivo de La Coru?a,05/06,5000000,17,20180000,9,15180000,LaLiga
Celta de Vigo,05/06,4250000,16,0,19,-4250000,LaLiga
Real Sociedad,05/06,3500000,16,4800000,12,1300000,LaLiga
C?diz CF,05/06,3300000,12,0,7,-3300000,LaLiga
Athletic Bilbao,05/06,3000000,14,12000000,12,9000000,LaLiga
Getafe CF,05/06,1800000,13,600000,16,-1200000,LaLiga
M?laga CF,05/06,1520000,19,2000000,14,480000,LaLiga
Deportivo Alav?s,05/06,1400000,18,0,21,-1400000,LaLiga
CA Osasuna,05/06,1000000,8,5400000,10,4400000,LaLiga
FC Barcelona,05/06,0,13,11000000,9,11000000,LaLiga
Real Madrid,06/07,103000000,19,15350000,18,-87650000,LaLiga
Atl?tico de Madrid,06/07,58430000,27,7000000,21,-51430000,LaLiga
Valencia CF,06/07,49800000,24,20830000,18,-28970000,LaLiga
Villarreal CF,06/07,31040000,18,5450000,14,-25590000,LaLiga
FC Barcelona,06/07,31000000,9,13200000,8,-17800000,LaLiga
Real Betis Balompi?,06/07,24940000,16,40200000,14,15260000,LaLiga
Sevilla FC,06/07,18700000,18,1500000,13,-17200000,LaLiga
Real Zaragoza,06/07,16800000,15,17580000,16,780000,LaLiga
Athletic Bilbao,06/07,13900000,13,300000,10,-13600000,LaLiga
RCD Mallorca,06/07,13000000,17,3600000,20,-9400000,LaLiga
Deportivo de La Coru?a,06/07,11070000,28,6900000,26,-4170000,LaLiga
Racing Santander,06/07,9000000,18,400000,20,-8600000,LaLiga
Real Sociedad,06/07,8450000,16,6250000,17,-2200000,LaLiga
Celta de Vigo,06/07,4750000,12,0,18,-4750000,LaLiga
Getafe CF,06/07,4700000,13,12940000,15,8240000,LaLiga
Levante UD,06/07,3850000,18,0,16,-3850000,LaLiga
RCD Espanyol Barcelona,06/07,2830000,16,450000,13,-2380000,LaLiga
Gimn?stic de Tarragona,06/07,2150000,20,75000,31,-2075000,LaLiga
Recreativo Huelva,06/07,525000,19,0,26,-525000,LaLiga
CA Osasuna,06/07,400000,8,400000,7,0,LaLiga
Real Madrid,07/08,118000000,23,42400000,19,-75600000,LaLiga
Atl?tico de Madrid,07/08,80500000,23,52100000,17,-28400000,LaLiga
Valencia CF,07/08,72150000,34,7600000,22,-64550000,LaLiga
FC Barcelona,07/08,68500000,12,14000000,8,-54500000,LaLiga
Villarreal CF,07/08,40000000,30,44450000,27,4450000,LaLiga
Sevilla FC,07/08,29000000,22,21100000,17,-7900000,LaLiga
Real Betis Balompi?,07/08,24300000,19,1230000,15,-23070000,LaLiga
Real Zaragoza,07/08,21100000,20,25300000,15,4200000,LaLiga
Getafe CF,07/08,18000000,17,13000000,13,-5000000,LaLiga
Racing Santander,07/08,13530000,25,16900000,23,3370000,LaLiga
Athletic Bilbao,07/08,13300000,13,1000000,11,-12300000,LaLiga
CA Osasuna,07/08,10800000,21,23900000,17,13100000,LaLiga
UD Almer?a,07/08,10250000,17,0,18,-10250000,LaLiga
Real Murcia CF,07/08,9730000,26,2200000,21,-7530000,LaLiga
Recreativo Huelva,07/08,8540000,23,1200000,22,-7340000,LaLiga
Deportivo de La Coru?a,07/08,7950000,18,22000000,16,14050000,LaLiga
RCD Mallorca,07/08,7500000,16,11970000,12,4470000,LaLiga
Levante UD,07/08,5300000,30,1000000,24,-4300000,LaLiga
RCD Espanyol Barcelona,07/08,5100000,16,6850000,14,1750000,LaLiga
Real Valladolid CF,07/08,1900000,14,0,17,-1900000,LaLiga
FC Barcelona,08/09,96000000,10,54590000,12,-41410000,LaLiga
Real Madrid,08/09,82200000,13,71000000,12,-11200000,LaLiga
Sevilla FC,08/09,37700000,20,60550000,15,22850000,LaLiga
Real Betis Balompi?,08/09,34200000,17,11500000,14,-22700000,LaLiga
Atl?tico de Madrid,08/09,26500000,19,3450000,17,-23050000,LaLiga
Villarreal CF,08/09,26170000,23,24500000,17,-1670000,LaLiga
Getafe CF,08/09,17500000,15,8000000,15,-9500000,LaLiga
UD Almer?a,08/09,14500000,16,8000000,10,-6500000,LaLiga
RCD Espanyol Barcelona,08/09,14300000,15,18600000,14,4300000,LaLiga
RCD Mallorca,08/09,10230000,26,32400000,23,22170000,LaLiga
Deportivo de La Coru?a,08/09,9200000,22,20180000,19,10980000,LaLiga
Valencia CF,08/09,6600000,31,11300000,21,4700000,LaLiga
CA Osasuna,08/09,5050000,18,4750000,16,-300000,LaLiga
Recreativo Huelva,08/09,4990000,15,14300000,23,9310000,LaLiga
Racing Santander,08/09,3800000,25,17500000,24,13700000,LaLiga
Real Valladolid CF,08/09,1250000,16,5500000,18,4250000,LaLiga
M?laga CF,08/09,1100000,16,0,23,-1100000,LaLiga
Athletic Bilbao,08/09,325000,14,6000000,12,5675000,LaLiga
CD Numancia,08/09,300000,14,2000000,16,1700000,LaLiga
Sporting Gij?n,08/09,100000,11,0,11,-100000,LaLiga
Real Madrid,09/10,258500000,10,88500000,14,-170000000,LaLiga
FC Barcelona,09/10,113500000,12,24500000,10,-89000000,LaLiga
Sevilla FC,09/10,27500000,17,9300000,12,-18200000,LaLiga
Villarreal CF,09/10,22900000,14,11750000,15,-11150000,LaLiga
Atl?tico de Madrid,09/10,17250000,16,17900000,15,650000,LaLiga
Real Zaragoza,09/10,14900000,23,10920000,24,-3980000,LaLiga
Getafe CF,09/10,12250000,13,11400000,13,-850000,LaLiga
Real Valladolid CF,09/10,6680000,22,9500000,21,2820000,LaLiga
Racing Santander,09/10,6500000,22,8500000,22,2000000,LaLiga
RCD Espanyol Barcelona,09/10,5800000,26,8150000,19,2350000,LaLiga
UD Almer?a,09/10,5200000,12,7500000,9,2300000,LaLiga
Valencia CF,09/10,5000000,23,20630000,18,15630000,LaLiga
CA Osasuna,09/10,2460000,13,4000000,14,1540000,LaLiga
Athletic Bilbao,09/10,2350000,12,0,10,-2350000,LaLiga
Deportivo de La Coru?a,09/10,2100000,16,2700000,14,600000,LaLiga
M?laga CF,09/10,1600000,25,1150000,25,-450000,LaLiga
Sporting Gij?n,09/10,1400000,10,3300000,12,1900000,LaLiga
CD Tenerife,09/10,600000,8,0,10,-600000,LaLiga
Xerez CD,09/10,500000,12,0,27,-500000,LaLiga
RCD Mallorca,09/10,400000,21,9950000,17,9550000,LaLiga
Real Madrid,10/11,93000000,8,10500000,7,-82500000,LaLiga
FC Barcelona,10/11,72500000,15,52700000,9,-19800000,LaLiga
Atl?tico de Madrid,10/11,34050000,15,23900000,13,-10150000,LaLiga
Valencia CF,10/11,27850000,23,84350000,17,56500000,LaLiga
M?laga CF,10/11,25050000,29,0,26,-25050000,LaLiga
Sevilla FC,10/11,17100000,22,29600000,18,12500000,LaLiga
RCD Espanyol Barcelona,10/11,11250000,22,24500000,21,13250000,LaLiga
H?rcules CF,10/11,6210000,14,400000,15,-5810000,LaLiga
Real Zaragoza,10/11,4350000,18,2000000,22,-2350000,LaLiga
Villarreal CF,10/11,4250000,22,15820000,16,11570000,LaLiga
Real Sociedad,10/11,4200000,11,0,10,-4200000,LaLiga
Getafe CF,10/11,3900000,12,22100000,12,18200000,LaLiga
UD Almer?a,10/11,3200000,13,5000000,16,1800000,LaLiga
CA Osasuna,10/11,2790000,16,10250000,13,7460000,LaLiga
Athletic Bilbao,10/11,2720000,13,0,11,-2720000,LaLiga
Racing Santander,10/11,1470000,18,10000000,20,8530000,LaLiga
Sporting Gij?n,10/11,800000,10,0,10,-800000,LaLiga
Deportivo de La Coru?a,10/11,650000,21,16400000,17,15750000,LaLiga
RCD Mallorca,10/11,0,21,6400000,19,6400000,LaLiga
Levante UD,10/11,0,15,0,19,0,LaLiga
Atl?tico de Madrid,11/12,85200000,30,85350000,22,150000,LaLiga
FC Barcelona,11/12,60000000,13,46950000,12,-13050000,LaLiga
M?laga CF,11/12,59250000,21,0,16,-59250000,LaLiga
Real Madrid,11/12,56000000,9,8000000,7,-48000000,LaLiga
Valencia CF,11/12,34000000,18,32900000,16,-1100000,LaLiga
Villarreal CF,11/12,31300000,21,26850000,15,-4450000,LaLiga
Sevilla FC,11/12,19000000,25,15700000,20,-3300000,LaLiga
Granada CF,11/12,12190000,51,150000,39,-12040000,LaLiga
Real Zaragoza,11/12,11500000,24,15800000,30,4300000,LaLiga
Athletic Bilbao,11/12,7500000,10,0,7,-7500000,LaLiga
RCD Espanyol Barcelona,11/12,6500000,23,25000000,22,18500000,LaLiga
RCD Mallorca,11/12,3600000,13,9750000,14,6150000,LaLiga
Real Betis Balompi?,11/12,3440000,15,4500000,19,1060000,LaLiga
Getafe CF,11/12,3300000,22,18580000,19,15280000,LaLiga
CA Osasuna,11/12,2600000,19,8300000,17,5700000,LaLiga
Levante UD,11/12,1550000,18,8000000,26,6450000,LaLiga
Real Sociedad,11/12,1500000,10,0,11,-1500000,LaLiga
Sporting Gij?n,11/12,1500000,11,4500000,8,3000000,LaLiga
Racing Santander,11/12,350000,13,2100000,18,1750000,LaLiga
Rayo Vallecano,11/12,340000,18,1800000,23,1460000,LaLiga
Real Madrid,12/13,38500000,9,33500000,9,-5000000,LaLiga
FC Barcelona,12/13,33000000,10,500000,5,-32500000,LaLiga
Valencia CF,12/13,23200000,12,30000000,15,6800000,LaLiga
Sevilla FC,12/13,14000000,24,12200000,16,-1800000,LaLiga
Real Sociedad,12/13,14000000,9,500000,8,-13500000,LaLiga
Granada CF,12/13,13070000,57,7250000,48,-5820000,LaLiga
Getafe CF,12/13,5700000,21,5000000,20,-700000,LaLiga
Celta de Vigo,12/13,5150000,18,0,14,-5150000,LaLiga
Atl?tico de Madrid,12/13,4500000,21,21350000,16,16850000,LaLiga
RCD Mallorca,12/13,3700000,20,6000000,19,2300000,LaLiga
RCD Espanyol Barcelona,12/13,3350000,18,5700000,18,2350000,LaLiga
Real Betis Balompi?,12/13,2650000,19,0,19,-2650000,LaLiga
Athletic Bilbao,12/13,2500000,12,40000000,11,37500000,LaLiga
Real Zaragoza,12/13,1800000,27,1670000,23,-130000,LaLiga
Deportivo de La Coru?a,12/13,750000,16,0,22,-750000,LaLiga
Levante UD,12/13,650000,23,7940000,22,7290000,LaLiga
CA Osasuna,12/13,600000,23,5700000,20,5100000,LaLiga
Real Valladolid CF,12/13,0,10,0,17,0,LaLiga
Rayo Vallecano,12/13,0,22,2570000,24,2570000,LaLiga
M?laga CF,12/13,0,18,41600000,23,41600000,LaLiga
Real Madrid,13/14,175500000,12,113500000,10,-62000000,LaLiga
FC Barcelona,13/14,101000000,13,28100000,7,-72900000,LaLiga
Atl?tico de Madrid,13/14,36100000,27,70100000,20,34000000,LaLiga
Sevilla FC,13/14,35300000,37,90980000,33,55680000,LaLiga
Valencia CF,13/14,22470000,22,47100000,16,24630000,LaLiga
Villarreal CF,13/14,17450000,18,10500000,20,-6950000,LaLiga
Athletic Bilbao,13/14,15400000,17,0,11,-15400000,LaLiga
Getafe CF,13/14,10000000,17,14500000,18,4500000,LaLiga
Real Betis Balompi?,13/14,7450000,28,10030000,25,2580000,LaLiga
Real Sociedad,13/14,6500000,11,32000000,8,25500000,LaLiga
Celta de Vigo,13/14,6400000,20,10800000,23,4400000,LaLiga
Granada CF,13/14,5980000,52,6700000,45,720000,LaLiga
M?laga CF,13/14,5230000,24,37650000,24,32420000,LaLiga
CA Osasuna,13/14,3100000,15,4000000,16,900000,LaLiga
Elche CF,13/14,2230000,18,0,23,-2230000,LaLiga
Real Valladolid CF,13/14,1050000,11,1800000,11,750000,LaLiga
RCD Espanyol Barcelona,13/14,750000,20,12900000,18,12150000,LaLiga
Levante UD,13/14,300000,20,4620000,16,4320000,LaLiga
Rayo Vallecano,13/14,0,21,7000000,24,7000000,LaLiga
UD Almer?a,13/14,0,19,1000000,21,1000000,LaLiga
FC Barcelona,14/15,166720000,16,81800000,15,-84920000,LaLiga
Real Madrid,14/15,126000000,10,112100000,9,-13900000,LaLiga
Atl?tico de Madrid,14/15,120350000,32,89300000,26,-31050000,LaLiga
Valencia CF,14/15,55050000,28,55450000,31,400000,LaLiga
Sevilla FC,14/15,20950000,31,50550000,24,29600000,LaLiga
Villarreal CF,14/15,18700000,21,22500000,18,3800000,LaLiga
Real Sociedad,14/15,12000000,20,45200000,14,33200000,LaLiga
Granada CF,14/15,7920000,55,21000000,45,13080000,LaLiga
Celta de Vigo,14/15,3900000,14,1500000,11,-2400000,LaLiga
RCD Espanyol Barcelona,14/15,2500000,23,11000000,18,8500000,LaLiga
M?laga CF,14/15,1500000,16,18990000,16,17490000,LaLiga
Deportivo de La Coru?a,14/15,1400000,21,0,25,-1400000,LaLiga
Elche CF,14/15,1350000,18,6000000,22,4650000,LaLiga
Athletic Bilbao,14/15,1000000,17,36000000,11,35000000,LaLiga
Levante UD,14/15,800000,16,10000000,15,9200000,LaLiga
C?rdoba CF,14/15,750000,32,0,36,-750000,LaLiga
Rayo Vallecano,14/15,500000,24,650000,32,150000,LaLiga
SD Eibar,14/15,162000,26,600000,26,438000,LaLiga
UD Almer?a,14/15,0,18,3000000,20,3000000,LaLiga
Getafe CF,14/15,0,10,8000000,15,8000000,LaLiga
Valencia CF,15/16,143900000,25,50000000,18,-93900000,LaLiga
Atl?tico de Madrid,15/16,119000000,35,152000000,24,33000000,LaLiga
Real Madrid,15/16,92900000,21,31650000,12,-61250000,LaLiga
FC Barcelona,15/16,51000000,15,38300000,10,-12700000,LaLiga
Villarreal CF,15/16,47200000,24,37560000,21,-9640000,LaLiga
Sevilla FC,15/16,44000000,24,61450000,23,17450000,LaLiga
Real Sociedad,15/16,26100000,21,1000000,18,-25100000,LaLiga
Celta de Vigo,15/16,16300000,13,18500000,12,2200000,LaLiga
Athletic Bilbao,15/16,10000000,20,0,16,-10000000,LaLiga
Real Betis Balompi?,15/16,8850000,28,1050000,21,-7800000,LaLiga
M?laga CF,15/16,8650000,23,46800000,26,38150000,LaLiga
Deportivo de La Coru?a,15/16,8000000,21,0,25,-8000000,LaLiga
Levante UD,15/16,6550000,19,0,19,-6550000,LaLiga
UD Las Palmas,15/16,6400000,24,0,20,-6400000,LaLiga
RCD Espanyol Barcelona,15/16,4450000,30,15200000,23,10750000,LaLiga
Granada CF,15/16,3850000,50,11170000,50,7320000,LaLiga
SD Eibar,15/16,3700000,30,0,31,-3700000,LaLiga
Rayo Vallecano,15/16,400000,23,0,24,-400000,LaLiga
Getafe CF,15/16,270000,14,4100000,20,3830000,LaLiga
Sporting Gij?n,15/16,0,9,0,11,0,LaLiga
FC Barcelona,16/17,124750000,16,33800000,13,-90950000,LaLiga
Sevilla FC,16/17,81700000,20,93450000,23,11750000,LaLiga
Atl?tico de Madrid,16/17,78800000,35,44000000,21,-34800000,LaLiga
Villarreal CF,16/17,55950000,28,67250000,26,11300000,LaLiga
Valencia CF,16/17,36000000,23,121900000,24,85900000,LaLiga
Real Madrid,16/17,30000000,19,37500000,12,7500000,LaLiga
Real Betis Balompi?,16/17,20900000,25,8000000,26,-12900000,LaLiga
RCD Espanyol Barcelona,16/17,18400000,26,6000000,25,-12400000,LaLiga
Real Sociedad,16/17,18000000,18,11000000,12,-7000000,LaLiga
M?laga CF,16/17,12540000,23,0,20,-12540000,LaLiga
Granada CF,16/17,11580000,44,31600000,54,20020000,LaLiga
SD Eibar,16/17,8600000,30,5000000,24,-3600000,LaLiga
Celta de Vigo,16/17,8400000,17,19800000,9,11400000,LaLiga
Deportivo de La Coru?a,16/17,7000000,31,20000000,31,13000000,LaLiga
Deportivo Alav?s,16/17,6330000,19,0,25,-6330000,LaLiga
CD Legan?s,16/17,5450000,22,200000,31,-5250000,LaLiga
UD Las Palmas,16/17,2900000,19,200000,18,-2700000,LaLiga
CA Osasuna,16/17,2200000,15,3750000,13,1550000,LaLiga
Sporting Gij?n,16/17,1000000,19,0,21,-1000000,LaLiga
Athletic Bilbao,16/17,0,22,0,14,0,LaLiga
FC Barcelona,17/18,380100000,18,232500000,12,-147600000,LaLiga
Atl?tico de Madrid,17/18,95600000,23,104000000,21,8400000,LaLiga
Sevilla FC,17/18,78050000,19,81600000,20,3550000,LaLiga
Valencia CF,17/18,55000000,29,16550000,28,-38450000,LaLiga
Villarreal CF,17/18,46100000,20,68000000,18,21900000,LaLiga
Real Madrid,17/18,40500000,12,132500000,10,92000000,LaLiga
Real Betis Balompi?,17/18,38500000,26,27070000,25,-11430000,LaLiga
Athletic Bilbao,17/18,32000000,12,65000000,9,33000000,LaLiga
Celta de Vigo,17/18,26800000,22,13200000,21,-13600000,LaLiga
Real Sociedad,17/18,25500000,18,53000000,14,27500000,LaLiga
RCD Espanyol Barcelona,17/18,17050000,20,10500000,20,-6550000,LaLiga
Getafe CF,17/18,12900000,33,1600000,31,-11300000,LaLiga
Deportivo Alav?s,17/18,12330000,26,7500000,29,-4830000,LaLiga
M?laga CF,17/18,10500000,35,33400000,34,22900000,LaLiga
SD Eibar,17/18,10250000,30,10000000,23,-250000,LaLiga
Levante UD,17/18,10000000,28,13850000,26,3850000,LaLiga
Deportivo de La Coru?a,17/18,9500000,24,5500000,25,-4000000,LaLiga
Girona FC,17/18,8750000,23,0,26,-8750000,LaLiga
CD Legan?s,17/18,6550000,24,130000,31,-6420000,LaLiga
UD Las Palmas,17/18,350000,28,25700000,30,25350000,LaLiga
Atl?tico de Madrid,18/19,168000000,28,57900000,19,-110100000,LaLiga
Real Madrid,18/19,164750000,24,136100000,14,-28650000,LaLiga
FC Barcelona,18/19,141100000,27,146050000,21,4950000,LaLiga
Valencia CF,18/19,129200000,31,68800000,24,-60400000,LaLiga
Villarreal CF,18/19,92900000,31,54800000,24,-38100000,LaLiga
Sevilla FC,18/19,81050000,27,93800000,26,12750000,LaLiga
Real Betis Balompi?,18/19,44500000,27,49300000,22,4800000,LaLiga
Athletic Bilbao,18/19,32900000,16,80000000,9,47100000,LaLiga
Celta de Vigo,18/19,30000000,29,35700000,21,5700000,LaLiga
Getafe CF,18/19,27250000,35,5000000,31,-22250000,LaLiga
Levante UD,18/19,26700000,23,41500000,25,14800000,LaLiga
RCD Espanyol Barcelona,18/19,22100000,16,30800000,15,8700000,LaLiga
CD Legan?s,18/19,18900000,37,24600000,38,5700000,LaLiga
Rayo Vallecano,18/19,12300000,32,13000000,32,700000,LaLiga
Real Sociedad,18/19,12000000,14,32800000,16,20800000,LaLiga
Girona FC,18/19,10200000,13,3300000,14,-6900000,LaLiga
Real Valladolid CF,18/19,10100000,27,0,27,-10100000,LaLiga
Deportivo Alav?s,18/19,10000000,34,9000000,32,-1000000,LaLiga
SD Huesca,18/19,9300000,27,400000,34,-8900000,LaLiga
SD Eibar,18/19,8000000,20,7750000,20,-250000,LaLiga
Real Madrid,19/20,355500000,34,136800000,23,-218700000,LaLiga
FC Barcelona,19/20,298500000,30,152900000,23,-145600000,LaLiga
Atl?tico de Madrid,19/20,247350000,25,316300000,20,68950000,LaLiga
Sevilla FC,19/20,188730000,41,131450000,34,-57280000,LaLiga
Real Betis Balompi?,19/20,96450000,28,72000000,21,-24450000,LaLiga
Valencia CF,19/20,75000000,29,56300000,23,-18700000,LaLiga
RCD Espanyol Barcelona,19/20,61500000,21,59000000,18,-2500000,LaLiga
Villarreal CF,19/20,43800000,28,69300000,21,25500000,LaLiga
Real Sociedad,19/20,31750000,20,9500000,14,-22250000,LaLiga
Celta de Vigo,19/20,24600000,22,40650000,21,16050000,LaLiga
Getafe CF,19/20,21500000,30,11250000,23,-10250000,LaLiga
SD Eibar,19/20,17300000,24,27000000,18,9700000,LaLiga
CD Legan?s,19/20,16450000,43,40820000,47,24370000,LaLiga
Levante UD,19/20,14600000,29,14900000,22,300000,LaLiga
CA Osasuna,19/20,14450000,27,300000,21,-14150000,LaLiga
Deportivo Alav?s,19/20,11770000,39,22500000,32,10730000,LaLiga
Granada CF,19/20,11240000,22,300000,23,-10940000,LaLiga
RCD Mallorca,19/20,7500000,45,0,35,-7500000,LaLiga
Real Valladolid CF,19/20,1400000,29,8000000,27,6600000,LaLiga
Athletic Bilbao,19/20,0,15,0,12,0,LaLiga
FC Barcelona,20/21,112000000,22,149800000,15,37800000,LaLiga
Atl?tico de Madrid,20/21,91000000,22,83300000,17,-7700000,LaLiga
Sevilla FC,20/21,73650000,31,19680000,19,-53970000,LaLiga
Villarreal CF,20/21,36500000,33,26650000,21,-9850000,LaLiga
Getafe CF,20/21,22050000,25,9750000,29,-12300000,LaLiga
Granada CF,20/21,20500000,15,0,18,-20500000,LaLiga
Athletic Bilbao,20/21,12000000,15,0,9,-12000000,LaLiga
C?diz CF,20/21,10100000,39,0,35,-10100000,LaLiga
Real Sociedad,20/21,10000000,13,28250000,7,18250000,LaLiga
Real Valladolid CF,20/21,9850000,38,12100000,27,2250000,LaLiga
CA Osasuna,20/21,9150000,20,3450000,20,-5700000,LaLiga
Elche CF,20/21,6100000,24,7300000,23,1200000,LaLiga
SD Huesca,20/21,4650000,25,0,24,-4650000,LaLiga
Levante UD,20/21,4000000,20,5000000,14,1000000,LaLiga
Celta de Vigo,20/21,3000000,15,2500000,15,-500000,LaLiga
SD Eibar,20/21,2000000,17,150000,19,-1850000,LaLiga
Valencia CF,20/21,50000,17,87850000,16,87800000,LaLiga
Real Betis Balompi?,20/21,0,18,43700000,15,43700000,LaLiga
